"state","year","fips","vmt","fatalityrate","sb_usage","speed65","speed70","drinkage21","ba08","income","age","primary","secondary"
"AK",1983,2,3358,0.0446694456040859,NA,0,0,1,0,17973,28.2349662780762,0,0
"AK",1984,2,3589,0.0373363047838211,NA,0,0,1,0,18093,28.343542098999,0,0
"AK",1985,2,3840,0.0330729149281979,NA,0,0,1,0,18925,28.3728160858154,0,0
"AK",1986,2,4008,0.0251996014267206,NA,0,0,1,0,18466,28.3966522216797,0,0
"AK",1987,2,3900,0.0194871798157692,NA,0,0,1,0,18021,28.4532508850098,0,0
"AK",1988,2,3841,0.0252538397908211,NA,0,0,1,0,18447,28.8514194488525,0,0
"AK",1989,2,3887,0.0216104965656996,NA,0,0,1,0,19970,29.1489543914795,0,0
"AK",1990,2,3979,0.0246293041855097,0.449999988079071,0,0,1,0,21073,29.5862846374512,0,0
"AK",1991,2,4021,0.0251181293278933,0.660000026226044,0,0,1,0,21496,29.8277111053467,0,1
"AK",1992,2,3841,0.0281176771968603,0.660000026226044,1,0,1,0,22073,30.2106971740723,0,1
"AK",1993,2,3918,0.0301174074411392,0.689999997615814,1,0,1,0,22711,30.4643859863281,0,1
"AK",1994,2,4150,0.0204819273203611,0.689999997615814,1,0,1,0,23417,30.75657081604,0,1
"AK",1995,2,4123,0.021101139485836,0.689999997615814,1,0,1,0,23971,31.178596496582,0,1
"AK",1996,2,4115,0.0196840818971395,0.689999997615814,1,0,1,0,24310,31.4453544616699,0,1
"AK",1997,2,4387,0.0175518579781055,0.689999997615814,1,0,1,0,24969,31.6014747619629,0,1
"AL",1983,1,31032,0.0299690645188093,NA,0,0,0,0,9505,34.2006454467773,0,0
"AL",1984,1,32961,0.0282758418470621,0.129999995231628,0,0,0,0,10417,34.421630859375,0,0
"AL",1985,1,35091,0.0251346491277218,0.170000001788139,0,0,1,0,11133,34.6025695800781,0,0
"AL",1986,1,34003,0.0317913107573986,0.28999999165535,0,0,1,0,11736,34.7606735229492,0,0
"AL",1987,1,37426,0.0296852458268404,0.209999993443489,1,0,1,0,12394,34.9556579589844,0,0
"AL",1988,1,39684,0.0258038509637117,0.28999999165535,1,0,1,0,13288,35.1369552612305,0,0
"AL",1989,1,40765,0.025242242962122,0.379999995231628,1,0,1,0,14266,35.3278579711914,0,0
"AL",1990,1,42347,0.0264717694371939,0.439999997615814,1,0,1,0,15213,35.6229248046875,0,0
"AL",1991,1,42924,0.025999441742897,0.469999998807907,1,0,1,0,15895,35.6887359619141,0,0
"AL",1992,1,45762,0.0225296095013618,0.579999983310699,1,0,1,0,16817,35.8326187133789,0,1
"AL",1993,1,47337,0.0220546294003725,0.550000011920929,1,0,1,0,17398,35.9482536315918,0,1
"AL",1994,1,48956,0.0221219062805176,0.550000011920929,1,0,1,0,18163,36.0920104980469,0,1
"AL",1995,1,50628,0.0220036339014769,0.519999980926514,1,1,1,1,19041,36.2057456970215,0,1
"AL",1996,1,51433,0.022281413897872,0.540000021457672,1,1,1,1,19838,36.3851318359375,0,1
"AL",1997,1,53458,0.022297877818346,0.519999980926514,1,1,1,1,20672,36.5007209777832,0,1
"AR",1983,5,16684,0.0333852805197239,NA,0,0,1,0,9267,35.4221382141113,0,0
"AR",1984,5,16621,0.0315865464508533,NA,0,0,1,0,10263,35.56396484375,0,0
"AR",1985,5,17112,0.0312061719596386,NA,0,0,1,0,10919,35.6919136047363,0,0
